,episode_reward,nb_episode_steps,nb_steps
824,0.0,50,41158
825,0.0,50,41208
826,-110.0,50,41258
827,0.0,50,41308
828,0.0,50,41358
829,0.0,50,41408
830,0.0,50,41458
831,0.0,50,41508
832,0.0,50,41558
833,0.0,50,41608
834,0.0,50,41658
835,0.0,50,41708
836,0.0,50,41758
837,0.0,50,41808
838,0.0,50,41858
839,0.0,50,41908
840,0.0,30,41938
841,0.0,50,41988
842,0.0,50,42038
843,0.0,50,42088
844,0.0,50,42138
845,0.0,50,42188
846,0.0,50,42238
847,0.0,50,42288
848,0.0,50,42338
849,0.0,50,42388
850,12.0,50,42438
851,0.0,50,42488
852,0.0,50,42538
853,68.0,50,42588
854,0.0,50,42638
855,0.0,50,42688
856,0.0,50,42738
857,0.0,50,42788
858,0.0,50,42838
859,0.0,50,42888
860,0.0,50,42938
861,0.0,50,42988
862,0.0,50,43038
863,0.0,50,43088
864,-20.0,50,43138
865,0.0,50,43188
866,0.0,50,43238
867,0.0,50,43288
868,0.0,50,43338
869,0.0,50,43388
870,0.0,50,43438
871,0.0,50,43488
872,-3785.0,50,43538
873,0.0,50,43588
874,-202.0,45,43633
875,0.0,50,43683
876,0.0,45,43728
877,0.0,50,43778
878,0.0,50,43828
879,0.0,50,43878
880,0.0,50,43928
881,0.0,50,43978
882,0.0,50,44028
883,0.0,50,44078
884,0.0,60,44138
885,-140.0,50,44188
886,0.0,50,44238
887,-440.0,70,44308
888,0.0,50,44358
889,0.0,50,44408
890,-120.0,50,44458
891,0.0,50,44508
892,0.0,50,44558
893,0.0,50,44608
894,4.0,50,44658
895,-80.0,50,44708
896,-480.0,50,44758
897,0.0,70,44828
898,-3461.0,50,44878
899,0.0,50,44928
900,0.0,70,44998
901,0.0,50,45048
902,-210.0,14,45062
903,-406.0,50,45112
904,0.0,50,45162
905,0.0,50,45212
906,0.0,50,45262
907,0.0,50,45312
908,0.0,50,45362
909,-160.0,45,45407
910,0.0,50,45457
911,0.0,50,45507
912,10.0,50,45557
913,-460.0,50,45607
914,0.0,50,45657
915,30.0,50,45707
916,-2805.0,50,45757
917,0.0,50,45807
918,0.0,50,45857
919,-410.0,50,45907
920,0.0,50,45957
921,0.0,50,46007
922,-950.0,50,46057
923,0.0,50,46107
924,0.0,50,46157
925,0.0,50,46207
926,0.0,50,46257
927,0.0,50,46307
928,0.0,50,46357
929,0.0,50,46407
930,0.0,50,46457
931,0.0,50,46507
932,0.0,50,46557
933,0.0,50,46607
934,0.0,50,46657
935,0.0,50,46707
936,0.0,50,46757
937,0.0,50,46807
938,0.0,50,46857
939,-390.0,45,46902
940,0.0,50,46952
941,-860.0,50,47002
942,0.0,50,47052
943,0.0,50,47102
944,0.0,50,47152
945,0.0,50,47202
946,0.0,50,47252
947,-260.0,50,47302
948,0.0,37,47339
949,0.0,50,47389
950,0.0,50,47439
951,0.0,50,47489
952,0.0,50,47539
953,0.0,50,47589
954,0.0,50,47639
955,0.0,50,47689
956,0.0,50,47739
957,0.0,50,47789
958,0.0,50,47839
959,-310.0,50,47889
960,0.0,50,47939
961,0.0,50,47989
962,0.0,50,48039
963,0.0,50,48089
964,0.0,50,48139
965,-50.0,50,48189
966,0.0,50,48239
967,0.0,50,48289
968,0.0,50,48339
969,0.0,50,48389
970,0.0,50,48439
971,0.0,50,48489
972,0.0,50,48539
973,0.0,50,48589
974,0.0,70,48659
975,0.0,50,48709
976,0.0,50,48759
977,0.0,50,48809
978,0.0,50,48859
979,-390.0,50,48909
980,0.0,50,48959
981,0.0,50,49009
982,0.0,50,49059
983,-40.0,50,49109
984,0.0,50,49159
985,0.0,50,49209
986,0.0,50,49259
987,0.0,50,49309
988,0.0,50,49359
989,0.0,50,49409
990,0.0,50,49459
991,0.0,50,49509
992,0.0,50,49559
993,0.0,50,49609
994,0.0,50,49659
995,0.0,50,49709
996,0.0,50,49759
997,0.0,50,49809
998,0.0,50,49859
999,0.0,50,49909
1000,0.0,50,49959
1001,0.0,50,50009
1002,0.0,50,50059
1003,0.0,50,50109
1004,0.0,50,50159
1005,0.0,50,50209
1006,0.0,50,50259
1007,0.0,50,50309
1008,0.0,70,50379
1009,0.0,50,50429
1010,0.0,50,50479
1011,0.0,50,50529
1012,0.0,50,50579
1013,0.0,50,50629
1014,0.0,50,50679
1015,0.0,50,50729
1016,0.0,50,50779
1017,0.0,50,50829
1018,0.0,50,50879
1019,0.0,50,50929
1020,-3645.0,50,50979
1021,-6080.0,50,51029
1022,0.0,50,51079
1023,-80.0,50,51129
1024,-330.0,50,51179
1025,0.0,50,51229
1026,0.0,50,51279
1027,0.0,50,51329
1028,0.0,46,51375
1029,0.0,50,51425
1030,0.0,50,51475
1031,0.0,50,51525
1032,0.0,50,51575
1033,0.0,50,51625
1034,0.0,50,51675
1035,74.0,50,51725
1036,0.0,70,51795
1037,0.0,50,51845
1038,0.0,50,51895
1039,0.0,50,51945
1040,0.0,50,51995
1041,0.0,50,52045
1042,-1755.0,50,52095
